username,repo,rating,link
bregman-arie,devops-exercises,"63,082",https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,"56,378",https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,"51,945",https://github.com/localstack/localstack
serverless,serverless,"46,013",https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,"26,392",https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,"19,866",https://github.com/sst/sst
pulumi,pulumi,"19,559",https://github.com/pulumi/pulumi
kubernetes-sigs,kubespray,"15,289",https://github.com/kubernetes-sigs/kubespray
getsops,sops,"14,989",https://github.com/getsops/sops
aws,aws-cli,"14,838",https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,"14,687",https://github.com/ramitsurana/awesome-kubernetes
donnemartin,awesome-aws,"12,119",https://github.com/donnemartin/awesome-aws
caprover,caprover,"12,096",https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,"11,704",https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,"11,109",https://github.com/aws/aws-cdk
apereo,cas,"10,606",https://github.com/apereo/cas
aws,chalice,"10,276",https://github.com/aws/chalice
infracost,infracost,"10,211",https://github.com/infracost/infracost
prowler-cloud,prowler,"9,472",https://github.com/prowler-cloud/prowler
aws,amazon-sagemaker-examples,"9,460",https://github.com/aws/amazon-sagemaker-examples
